Model,Norm,Dataset,Batch Size,Trace,Eigen Mean,Eigen Variance,Max Eigen,Test Accuracy,Class Similarity,Mom & WD,Train Accuracy,SkipInit,Success,P Grouping,Gen. Ratio
VGG,EvoNormSO,CIFAR-10,16,6.701208005506672e-05,0.1035792859044157,17.455178880243388,5.438091,82.65555555555555,0.0053694188,True,98.14340588988476,False,True,32.0,0.8421916358628687
VGG,EvoNormSO,CIFAR-10,256,4.068396734542256e-06,0.0132967283552352,0.6481145503452986,1.9481615,82.73333333333333,-0.05764246,True,100.0,False,True,32.0,0.8273333333333334
VGG,EvoNormSO,CIFAR-10,256,4.038496021308439e-06,0.0082325430010762,0.2880071707436953,2.1710005,82.8,-0.052804623,True,100.0,True,True,32.0,0.828
VGG,EvoNormSO,CIFAR-10,16,6.491977396226488e-05,0.1080204279166675,19.56199895342294,5.283706,82.34444444444445,0.00097295054,True,98.07938540332908,True,True,32.0,0.8395693356541919
VGG,EvoNormSO,CIFAR-10,16,0.0007338415001986584,0.0706399692131987,0.8898894217147837,93.958814,71.5111111111111,0.6923409,False,90.729033290653,False,True,32.0,0.7881833247580546
VGG,EvoNormSO,CIFAR-10,256,1.5961265359011862e-05,0.0063885389635127,0.1370062938920791,20.229387000000003,70.56666666666666,0.59009004,False,100.0,False,True,32.0,0.7056666666666667
VGG,EvoNormSO,CIFAR-10,256,1.7904088381245254e-05,0.0019933345419018,0.1314807618197183,19.263153000000003,71.62222222222222,0.5729099,False,100.0,True,True,32.0,0.7162222222222222
VGG,EvoNormSO,CIFAR-10,16,0.0007503551485668149,0.0680700331818211,1.0051727901698295,102.76402,71.13333333333334,0.6739507,False,90.14484635083228,True,True,32.0,0.7891003891280867
VGG,EvoNormSO,CIFAR-100,16,0.00023258759882840543,0.3116739770631448,128.94539126245132,6.739279,52.7,0.40227938,True,93.66197183098592,False,True,32.0,0.5626616541353383
VGG,EvoNormSO,CIFAR-100,256,2.305701781888932e-05,0.0116256709634167,0.2640702443388449,6.975085,51.077777777777776,0.9560137,True,99.96375644329896,False,True,32.0,0.5109629689311436
VGG,EvoNormSO,CIFAR-100,256,2.466219873531113e-05,0.0266558193114392,0.9282656982578644,6.018109,51.44444444444444,0.958056,True,99.96778350515464,True,True,32.0,0.514610233823898
VGG,EvoNormSO,CIFAR-100,16,0.00024263139401604547,0.3361336472682804,156.79697823911386,6.4472616,50.58888888888889,0.39836544,True,93.37387964148527,True,True,32.0,0.5417884432255361
VGG,EvoNormSO,CIFAR-100,16,0.002215557696957023,0.133874974413146,3.619896210961843,171.78243,40.18888888888889,0.9568663,False,60.32330345710628,False,True,32.0,0.6662249344064148
VGG,EvoNormSO,CIFAR-100,256,5.130864415740745e-05,0.0092940939914422,0.1912573673545257,23.950357,40.25555555555555,0.9661831,False,99.96778350515464,False,True,32.0,0.40268528664016895
